model,condition,accuracy,mean_confidence,brier_score,log_score,overconfidence,n_valid,trial
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,358
mistralai/Mistral-7B-Instruct-v0.2,C1,0.1,1.0,0.9,6.217079801117281,0.9,10,359
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,360
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,361
mistralai/Mistral-7B-Instruct-v0.2,C1,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,362
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,363
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,364
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,365
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,366
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,367
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,368
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,369
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,370
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,371
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,372
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,373
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,374
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,375
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,376
mistralai/Mistral-7B-Instruct-v0.2,C1,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,377
